District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),%DEP
D,BENGALURU URBAN,846,1082,28
T,Anekal,902,1040,15
H,Anekal_1,902,960,6
H,Attibele_1,824,879,7
H,Jigani_1,845,1169,38
H,Sarjapura_1,748,928,24
H,Anekal_2,881,1000,14
H,Jigani_2,865,1222,41
H,Attibele_2,857,1110,30
H,Sarjapura_1,855,1121,31
H,Sarjapura_3,814,911,12
T,Bengaluru North,1004,1146,14
H,Bengaluru North_1,1004,1125,12
H,Dasanapura_1,896,1069,19
H,Yashavantapura_1,819,1241,52
H,Bengaluru North_2,854,1150,35
H,Yashavantapura_2,866,1281,48
H,Dasanapura_2,872,1088,25
H,Dasanapura_3,900,1073,19
T,Bengaluru South,820,1169,43
H,Beguru_3,820,1157,41
H,Kengeri_1,905,1277,41
H,Tavarekere_1,734,1050,43
H,Uttarahalli_4,905,1400,55
H,Uttarahalli_1,886,1304,47
H,Uttarahalli_2,872,1138,30
H,Uttarahalli_3,863,1145,33
H,Uttarahalli_5,941,1282,36
H,Beguru_1,912,1040,14
H,Beguru_2,875,1149,31
H,Kengeri_2,878,1129,29
H,Kengeri_3,860,1154,34
H,Kengeri_4,852,1419,67
H,Tavarekere_2,961,1178,23
H,Tavarekere_3,871,1034,19
T,Bengaluru East,815,1019,25
H,Mahadevpura_1,815,1063,30
H,Bidarahalli_2,828,1058,28
H,Varturu_1,818,935,14
H,K R Pura_2,855,1032,21
H,K R Pura_3,827,974,18
H,Varturu_2,881,1007,14
H,Bidarahalli_1,821,1060,29
H,Mahadevapura_2,882,969,10
H,Marathahalli,891,995,12
H,Bidharahalli_3,799,1048,31
T,Yelahanka,752,1017,35
H,Yelahanka_1,752,1080,44
H,Yelahanka_2,785,1101,40
H,Yelahanka_3,801,1164,45
H,Jala_1,760,1015,34
H,Jala_2,763,1049,37
H,Jala_3,781,950,22
H,Hesarughatta_1,746,1066,43
H,Hesarughatta_2,781,907,16
D,BENGALURU RURAL,798,956,20
T,Devanahalli,808,927,15
H,Devanahalli,808,962,19
H,Channarayapatna,796,944,19
H,Kundana,786,930,18
H,Vijaypura,787,866,10
T,Doddaballapura,799,912,14
H,Dodballapur,799,1004,26
H,Dodda Belavangala,792,881,11
H,Madure,812,900,11
H,Sasalu,709,833,17
H,Tubagere,787,950,21
T,Hosakote,857,999,17
H,Hosakote,857,990,16
H,Anugondhalli,731,1107,51
H,Jadigenhalli,796,1027,29
H,Nandagudi,777,972,25
H,Sulibele,803,919,15
T,Nelamangala,954,999,5
H,Nelamangala,954,999,5
H,Sompura,794,1018,28
H,Tyamagondal,877,976,11
H,Nelamangala_2,891,960,8
H,Sompura_2,827,1142,38
H,Tyamagondal_2,870,972,12
D,RAMANAGARA,840,961,14
T,Channapatna,861,916,6
H,Channapatna,861,890,3
H,Maluru,843,899,7
H,Virupakshipura,843,953,13
T,Kanakapura,797,969,22
H,Kanakapura,797,982,23
H,Dodda Maralavadi,828,1021,23
H,Harohalli,845,1177,39
H,Kodihalli,802,1067,33
H,Satnuru,798,899,13
H,Uyyamballi,792,797,1
T,Magadi,1000,978,-2
H,Magadi,1000,963,-4
H,Kuduru,841,1046,24
H,Madabal,968,972,0
H,Solur,881,955,8
H,Tippasanara,822,955,16
T,Ramanagara,921,1088,18
H,Ramanagara_1,921,1232,34
H,Bidadi,865,1099,27
H,Kailancha,867,1082,25
H,Kutgallu,887,1032,16
H,Ramanagara_2,889,983,11
H,Kailancha_2,872,1067,22
D,KOLAR,735,983,34
T,Bangarapet,764,930,22
H,Bangarapet,764,961,26
H,Budikote,687,836,22
