District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP
D,BENGALURU URBAN,846,1128,33
T,Anekal,902,1036,15
H,Anekal_1,902,848,-6
H,Attibele_1,824,892,8
H,Jigani_1,845,1149,36
H,Sarjapura_1,748,1154,54
H,Anekal_2,881,956,9
H,Jigani_2,865,1121,30
H,Attibele_2,857,1131,32
H,Sarjapura_1,855,1088,27
H,Sarjapura_3,814,1053,29
T,Bengaluru North,1004,1158,15
H,Bengaluru North_1,1004,1207,20
H,Dasanapura_1,896,1159,29
H,Yashavantapura_1,819,1152,41
H,Bengaluru North_2,854,939,10
H,Yashavantapura_2,866,1286,49
H,Dasanapura_2,872,1023,17
H,Dasanapura_3,900,1031,15
T,Bengaluru South,820,1156,41
H,Beguru_3,820,1068,30
H,Kengeri_1,905,1205,33
H,Tavarekere_1,734,1150,57
H,Uttarahalli_4,905,1353,50
H,Uttarahalli_1,886,1018,15
H,Uttarahalli_2,872,1120,28
H,Uttarahalli_3,863,1307,51
H,Uttarahalli_5,941,1120,19
H,Beguru_1,912,1166,28
H,Beguru_2,875,1016,16
H,Kengeri_2,878,1219,39
H,Kengeri_3,860,1192,39
H,Kengeri_4,852,1509,77
H,Tavarekere_2,961,906,-6
H,Tavarekere_3,871,1199,38
T,Bengaluru East,815,1101,35
H,Mahadevpura_1,815,1059,30
H,Bidarahalli_2,828,1083,31
H,Varturu_1,818,1108,35
H,K R Pura_2,855,1094,28
H,K R Pura_3,827,1126,36
H,Varturu_2,881,1018,16
H,Bidarahalli_1,821,1036,26
H,Mahadevapura_2,882,1003,14
H,Marathahalli,891,1313,47
H,Bidharahalli_3,799,1196,50
T,Yelahanka,752,1212,61
H,Yelahanka_1,752,1277,70
H,Yelahanka_2,785,1079,37
H,Yelahanka_3,801,1166,46
H,Jala_1,760,1055,39
H,Jala_2,763,1214,59
H,Jala_3,781,1218,56
H,Hesarughatta_1,746,1186,59
H,Hesarughatta_2,781,1286,65
D,BENGALURU RURAL,798,1256,57
T,Devanahalli,808,1226,52
H,Devanahalli,808,1261,56
H,Channarayapatna,796,1191,50
H,Kundana,786,1249,59
H,Vijaypura,787,1201,53
T,DODDABALLAPURA,799,1305,63
H,Dodballapur,799,1272,59
H,Dodda Belavangala,792,1277,61
H,Madure,812,1243,53
H,Sasalu,709,1326,87
H,Tubagere,787,1392,77
T,HOSAKOTE,857,1240,45
H,Hosakote,857,1023,19
H,Anugondhalli,731,1188,62
H,Jadigenhalli,796,1368,72
H,Nandagudi,777,1381,78
H,Sulibele,803,1141,42
T,Nelamangala,954,1224,28
H,Nelamangala,954,1188,25
H,Sompura,794,1214,53
H,Tyamagondal,877,1236,41
H,Nelamangala_2,891,1204,35
H,Sompura_2,827,1446,75
H,Tyamagondal_2,870,1275,47
D,RAMANAGARA,840,1087,29
T,Channapatna,861,1052,22
H,Channapatna,861,1078,25
H,Maluru,843,1097,30
H,Virupakshipura,843,993,18
T,Kanakapura,797,1059,33
H,Kanakapura,797,1191,49
H,Dodda Maralavadi,828,1187,43
H,Harohalli,845,1168,38
H,Kodihalli,802,938,17
H,Satnuru,798,1055,32
H,Uyyamballi,792,901,14
T,Magadi,1000,1151,15
H,Magadi,1000,1185,19
H,Kuduru,841,1180,40
H,Madabal,968,1121,16
H,Solur,881,1207,37
H,Tippasanara,822,1017,24
T,Ramanagara,921,1106,20
H,Ramanagara_1,921,1072,16
H,Bidadi,865,1236,43
H,Kailancha,867,1053,21
H,Kutgallu,887,1065,20
H,Ramanagara_2,889,973,9
H,Kailancha_2,872,1010,16
D,KOLAR,735,1316,79
T,Bangarapet,764,1194,56
H,Bangarapet,764,1225,60
H,Budikote,687,1102,60
H,Kamsandra,778,1265,63
H,Robertsonpet,818,1233,51
T,Kolar,784,1396,78
H,Kolar,784,1365,74
H,Holuru,745,1312,76
H,Huttur,768,1311,71
H,Narasapura,753,1296,72
H,Sugaturu,763,1462,92
H,Vakkaleri,738,1495,103
H,Rajakallahalli Vemagal,758,1492,97
T,Malur,798,1164,46
H,Malur,798,1243,56
H,Lakkur,529,1229,132
H,Masathi,633,1095,73
H,Tyakal,649,1057,63
T,MULABAGILU,804,1343,67
H,Mulbagal,804,1234,54
H,Avani,775,1455,88
H,Bairakur,734,1322,80
H,Duggasandra,753,1375,83
H,Tayilur,708,1289,82
T,Srinivasapura,758,1458,92
H,Srinivasapura,758,1455,92
H,Nelavanki,664,1966,196
H,Ronuru,711,1257,77
H,Rayalpadu,639,1435,124
H,Yelldur,710,1244,75
T,K.G.F,890,1169,31
H,Betamangala,797,1126,41
H,Kyasamballi,785,1218,55
H,Robertsonpet,890,1146,29
D,CHIKKABALLAPURA,736,1269,73
T,Bagepalli,695,1121,61
H,Bagepalli,695,1132,63
H,Chelur,706,1228,74
H,Guluru,696,991,42
H,Mittemari,715,1184,66
H,Pathapalya,701,1117,59
T,CHIKKABALLAPURA,828,1311,58
H,Chikballapura,828,1315,59
H,Mandikal,723,1299,80
H,Nandi,808,1335,65
T,Chintamani,787,1311,67
H,Chintamani,787,1408,79
H,Ambajidurga,768,1238,61
H,Chilakalanerpu,722,1181,63
H,Kaiwara,736,1356,84
H,Munganahalli,730,1345,84
H,Murugamale,749,1409,88
T,Gauribidanur,704,1331,89
H,Gauribidanur,704,1193,69
H,D.Palya,713,1533,115
H,Hosur,709,1175,66
H,Manchenahalli,786,1342,71
H,Nagaragere,695,1374,98
H,Tondebavi,758,1481,95
T,Gudibanda,694,1181,70
H,Gudibanda,694,1244,79
H,Somenahalli,728,1129,55
T,Sidlaghatta,763,1313,72
H,Sidlaghatta,763,1404,84
H,Bashattahalli,765,1324,73
H,Jangamakote,776,1290,66
H,Sadali,735,1223,66
D,TUMAKURU,669,1109,66
T,CHIKKANAYAKANAHALLI,761,1112,46
H,Chiknayakanahalli,761,1237,63
H,Handanakere,595,1018,71
H,Huliyaru,504,1083,115
H,Kandikere,610,1218,100
H,Shettikeri,700,1091,56
T,Gubbi,809,1228,52
H,Gubbi,809,1262,56
H,Chandrashekerapura,692,1213,75
H,Chelur,729,1161,59
H,Hagalavadi,655,1267,93
H,Kadaba,787,1122,43
H,Nittur,789,1315,67
T,Koratagere,777,1238,59
H,Koratagere,777,1071,38
H,Chennarayadurga,787,1440,83
H,Holanahalli,768,1127,47
H,Kolala,720,1234,71
T,Kunigal,825,1196,45
H,Kunigal,825,1304,58
H,Amrutur,675,1261,87
H,Huliyurudurga,741,1164,57
H,Huttariduraga,799,1268,59
H,Kottagere,752,1073,43
H,Yedeyur,669,1143,71
T,Madhugiri,730,1032,41
H,Madhugiri,730,1065,46
H,Dodderi,594,1119,88
H,Itakadibbanahalli,616,1077,75
H,Kodigenahalli,632,891,41
H,Midigesi,553,1002,81
H,Puravara,674,1011,50
T,Pavagada,611,894,46
H,Pavagada,611,962,57
H,Nagalamadike,588,840,43
H,Nidagal,518,955,84
H,Yellappanayakana Hosakote,532,860,62
T,Sira,638,1023,60
H,Sira,638,945,48
H,Bukkaptna,579,1088,88
H,Gowdagere,581,938,62
H,Hulikunta,506,1005,99
H,Kallambella,606,1178,94
T,Tiptur,731,1196,64
H,Tiptur,731,1236,69
H,Honnavalli,705,1170,66
H,Kibbanahalli,607,1241,104
H,Nonavinakere,720,1165,62
T,Tumakuru,830,1228,48
H,Tumakuru North,830,1189,43
H,Bellavi,788,1249,59
H,Guluru,869,1070,23
H,Hebbur,678,1198,77
H,Uradigere,682,1169,71
H,Kora,788,1528,94
H,Tumakuru East,844,1129,34
H,Tumakuru West,839,1079,29
H,Tumakuru South,846,1041,23
T,Turuvekere,772,1104,43
H,Turuvekere,772,1079,40
H,Dabbegatta,605,1058,75
H,Dandinasivara,707,1079,53
H,Mayasandra,657,1186,81
D,CHITRADURGA,540,872,61
T,Challakere,485,779,61
H,Challakere,485,813,68
H,Nayakanahatti,428,691,62
H,Parasurampura,410,814,98
H,Thalku,392,782,100
T,Chitradurga,666,896,35
H,Chitradurga,666,849,28
H,Bharmasagara,601,1007,67
H,Hire Guntanur,576,855,48
H,Turuvanur,581,891,53
T,Hiriyur,578,884,53
H,Hiriyur,578,922,59
H,Aymangala,517,787,52
H,Dharmapura,481,881,83
H,Javanagondanahalli,562,977,74
T,Holalkere,722,849,18
H,Holalkere,722,861,19
H,Bharmanaikanadurga,648,668,3
H,Ramagiri,535,938,75
H,Talya,650,899,38
T,Hosadurga,648,1100,70
H,Hosadurga,648,950,47
H,Madadhakeri,573,1003,75
H,Mathodu,580,1291,122
H,Srirampura,564,1269,125
T,Molakalmuru,545,651,19
H,Molakalmuru,545,662,21
H,Devasamudra,400,634,58
D,DAVANAGERE,659,987,50
T,Channagiri,840,1057,26
H,Channagiri,840,1159,38
H,Basavapatna_1,703,1182,68
H,Basavapatna_2,682,823,21
H,Santebannur_1,710,993,40
H,Santebannur_2,741,1039,40
H,Ubrani,752,988,31
T,Davanagere,641,1028,60
H,Davangere,641,965,51
H,Anogodu,599,1107,85
H,Mayakonda,639,1004,57
T,HARIHARA,630,993,58
H,Harihara,630,968,54
H,Malebennur,586,1013,73
T,Honnali,662,1026,55
H,Honnali,662,1012,53
H,Govinakovi_2,667,969,45
H,Sasavehalli_1,719,1119,56
H,Sasavehalli_2,640,978,53
T,Jagalur,528,742,41
H,Jagalur,528,717,36
H,Bilichodu,504,808,60
H,Sokke,574,711,24
T,Nyamati,826,1239,50
H,Belagutti,826,1309,59
H,Govinakovi_1,710,1030,45
D,CHAMARAJANAGARA,787,906,15
T,CHAMARAJANAGARA,770,915,19
H,Chamarajanagara,770,859,12
H,Chandakavadi,793,1005,27
H,Haradanhalli,774,856,11
H,Harve,752,868,15
H,Santemarahalli,838,918,10
T,Gundlupet,792,828,5
H,Gundlupet,792,719,-9
H,Begur,648,763,18
H,Terakanambi,766,817,7
H,Hangala,784,889,13
T,Kollegal,843,886,5
H,Kollegala,843,877,4
H,Palya,802,891,11
T,Yelandur,867,981,13
H,Yelandur,867,971,12
H,Agara,771,985,28
T,Hanur,754,939,25
H,Hanur,754,820,9
H,Lokkanahalli,781,903,16
H,Ramapura,811,995,23
D,MYSURU,837,955,14
T,HEGGADADEVANAKOTE,837,983,18
H,Heggadadevanakote,837,960,15
H,Antarasante,1031,1046,1
H,Hampapura,764,877,15
T,Hunsur,799,938,17
H,Hunsur,799,908,14
H,Bilikere,764,951,24
H,Gowdargyare,767,941,23
H,Hanagoadu,976,944,-3
T,Krishnarajanagar,735,923,26
H,Krishnarajanagar,735,884,20
